Day,Dept,Section,Time,Teacher,Course,Room
Thu,CE,CE 1A,11:40-12:30,MSH,CE 101,301
Thu,CE,CE 1A,12:35-1:25,SSI,PHY 101,304
Thu,ME,ME 3A,8:30-9:20,KAH,ME 206,"Thermo
Lab"
Thu,ME,ME 3A,9:25-10:15,KAH,ME 206,Thermo Lab
Thu,ME,ME 3A,10:20-11:10,KAH,ME 206,Thermo Lab
Thu,ME,ME 3A,11:40-12:30,MH+N1,ME 258,CSE Lab 2
Thu,ME,ME 3A,12:35-1:25,MH+AH,ME 258,CSE Lab 2
Thu,ME,ME 3A,1:40-2:30,MH+AH,ME 258,CSE Lab 2
Thu,ME,ME 2A,8:30-9:20,PM/AH,ME 193,304
Thu,ME,ME 2A,11:40-12:30,SSI,LANG 102,401
Thu,ME,ME 2A,12:35-1:25,SSI,LANG 102,401
Thu,ME,ME 2A,1:40-2:30,SSI,LANG 102,401
